,Marks,WinRate,MVP,Played,URL
121,109,55.5%,62,600,https://sea.wildstats.gg/en/profile/3DsNpFFpzuHmu47YfEyj
122,109,63.94%,35,355,https://sea.wildstats.gg/en/profile/dUDH6OLSswPHT9Ui7fEK
123,109,57.48%,148,548,https://sea.wildstats.gg/en/profile/1UWJnPiRnQqbzbF3Ir9O
124,109,55.8%,106,629,https://sea.wildstats.gg/en/profile/QUCqcxPrecHnjrRaZjq5
125,109,57.48%,126,515,https://sea.wildstats.gg/en/profile/5YJDlmC5vOsXtmkQf42W
126,109,54.16%,158,938,https://sea.wildstats.gg/en/profile/DPQlE0sbCAoVxNrEToK2
127,109,53.97%,89,895,https://sea.wildstats.gg/en/profile/C1wzYYEAKZ3G1lWUouyD
128,109,52.52%,285,"1,152",https://sea.wildstats.gg/en/profile/ua0oX6P2B3d7qtHoVlj6
129,109,57.67%,135,593,https://sea.wildstats.gg/en/profile/ERBdAVfO0uvzjuDo4wGP
130,109,54.96%,178,686,https://sea.wildstats.gg/en/profile/2uhaxdfGNZ0WFiuMd93O
131,109,52.19%,253,"1,510",https://sea.wildstats.gg/en/profile/TRix6yE8lWKDSi6RJm4m
132,109,54.12%,53,885,https://sea.wildstats.gg/en/profile/kZfB3DGvyM7OlMHjqMso
133,108,59.44%,152,678,https://sea.wildstats.gg/en/profile/VVd74BqnWKl93r8TUlKI
134,108,57.31%,230,513,https://sea.wildstats.gg/en/profile/CC276G3kDLKmg104WM3b
135,108,61.54%,114,377,https://sea.wildstats.gg/en/profile/TdiDomvUqbgLZ7XdCVZ3
136,108,57.17%,115,516,https://sea.wildstats.gg/en/profile/twLqKoG5FJS8x5zVtJqU
137,108,60.95%,146,402,https://sea.wildstats.gg/en/profile/Q11zFucOam1yT8eBsUi9
138,107,58.4%,112,476,https://sea.wildstats.gg/en/profile/0WKgYIjGThc2pojDnVur
139,108,55.33%,314,806,https://sea.wildstats.gg/en/profile/s7Rxj6TTJlRWgg0l9FxI
140,108,57.48%,210,468,https://sea.wildstats.gg/en/profile/UUgxXttlJr0orepKxW49
141,108,53.94%,167,"1,142",https://sea.wildstats.gg/en/profile/QwAcRlaA5p91TdYkYqty
142,108,64.36%,57,376,https://sea.wildstats.gg/en/profile/pXXxEZAfTfyTRQW1VrEF
143,108,55.52%,178,706,https://sea.wildstats.gg/en/profile/J8vXVrzbogWuJLcWjRGn
144,108,53.6%,65,763,https://sea.wildstats.gg/en/profile/ELW4ZoNcEPHsAHyIsoAe
145,108,62.02%,112,387,https://sea.wildstats.gg/en/profile/dCq0wYvQDjcvRU4p9y3Z
146,108,54.48%,132,703,https://sea.wildstats.gg/en/profile/urj2emn1URmGsQzIczuy
147,108,55.89%,97,696,https://sea.wildstats.gg/en/profile/GcMkH1EsbQWIDW174a2p
148,108,55.01%,259,749,https://sea.wildstats.gg/en/profile/qrBtG4vbI7hpVPvM2aZf
149,108,54.02%,144,759,https://sea.wildstats.gg/en/profile/8FlHT5ayfNtwYFbWcFHY
150,108,53.05%,184,886,https://sea.wildstats.gg/en/profile/EFxwBVM8wj8eRVZlWtNh
151,108,58.25%,172,618,https://sea.wildstats.gg/en/profile/m70fifhTaif5u96kSXjJ
152,107,58.56%,178,473,https://sea.wildstats.gg/en/profile/uUsBABTsFgFl2mLK3eej
153,107,57.41%,68,533,https://sea.wildstats.gg/en/profile/4zp1qap8nBYfqV2tEuiS
154,107,58.42%,137,493,https://sea.wildstats.gg/en/profile/uxB8HUT3M2nuyUG5ac7R
155,107,56.52%,67,660,https://sea.wildstats.gg/en/profile/pazgFVS9OPeIaPduuc5h
156,107,53.41%,219,820,https://sea.wildstats.gg/en/profile/M4Vm6XODRkTJ85MBOJrZ
157,107,53.02%,204,945,https://sea.wildstats.gg/en/profile/B80t0hqapUuxqEBO5xjt
158,107,55.63%,190,604,https://sea.wildstats.gg/en/profile/ExdkOCp16xTFUlu9WyQh
159,107,58.81%,120,471,https://sea.wildstats.gg/en/profile/4CaxKgEQNk8rTFwfsgIZ
160,107,53%,217,949,https://sea.wildstats.gg/en/profile/gYAQGYWQfH3XRIthkcLU
161,107,52.18%,221,"1,190",https://sea.wildstats.gg/en/profile/j1J87xLtf3gS53HQkN3y
162,107,51.64%,374,"1,524",https://sea.wildstats.gg/en/profile/WJtfzl4G4cL56fYn1D3Z
163,107,59.21%,64,478,https://sea.wildstats.gg/en/profile/YiuE2SPmLu2ryj4yygqj
164,106,54.87%,106,760,https://sea.wildstats.gg/en/profile/2JzX8r6vpPGSfYsikEXK
