Marks,WinRate,MVP,Played,URL
3,60%,4,20,https://sea.wildstats.gg/en/profile/zQSfBfaq4Sm8LLxbxINF
5,69.23%,8,26,https://sea.wildstats.gg/en/profile/DXITYpESAzu2vgARRr8D
4,75%,8,20,https://sea.wildstats.gg/en/profile/j6LQ5E2iINSNWhXtWWX9
3,76.92%,4,13,https://sea.wildstats.gg/en/profile/3BPAFj99CGEL1H6WjNT7
3,68.18%,3,22,https://sea.wildstats.gg/en/profile/9ZPeH4l29EBnryTpj3Cb
3,66.67%,4,21,https://sea.wildstats.gg/en/profile/KmrMK61P7suAavfVvlDb
2,70%,5,20,https://sea.wildstats.gg/en/profile/YrFoE3DmRCAeKqXqp9mC
3,77.78%,9,18,https://sea.wildstats.gg/en/profile/xZ3E3k04FjSXJrgIkpiB
2,72.22%,9,18,https://sea.wildstats.gg/en/profile/lyzHmgTfL9M4Mx1m2Tan
3,73.68%,4,19,https://sea.wildstats.gg/en/profile/viSU7WAIYSeaygQeJTfl
3,81.25%,1,16,https://sea.wildstats.gg/en/profile/EibvX6VLShWfUgAquDfM
3,65.22%,5,23,https://sea.wildstats.gg/en/profile/JePEc7bYAxLaOXDiUiG5
3,68.18%,3,22,https://sea.wildstats.gg/en/profile/1NA8sFW8DqAIJL8v0aMt
3,88.89%,0,9,https://sea.wildstats.gg/en/profile/5IYZrqWLf6Gi7eIngiJq
4,70.83%,8,24,https://sea.wildstats.gg/en/profile/04d6dzwqVZTCWdNLOY4f
4,82.35%,1,17,https://sea.wildstats.gg/en/profile/E2bEFz2T2gEAuVANftSA
4,82.35%,3,17,https://sea.wildstats.gg/en/profile/0K7HWSgHOCpAO88WDoFh
3,68.18%,1,22,https://sea.wildstats.gg/en/profile/8T7QSIMnmiFtl23eF2RV
3,81.25%,3,16,https://sea.wildstats.gg/en/profile/pKJuWwyjlNi9wIWTbkjP
2,72.22%,5,18,https://sea.wildstats.gg/en/profile/cNR7oqmfwtfLpxCMffed
3,68.18%,6,22,https://sea.wildstats.gg/en/profile/6nlKKd5reyeHxdahLSQ0
2,77.78%,4,9,https://sea.wildstats.gg/en/profile/teGvMGjk5PLVeLMN1vhr
2,70%,0,10,https://sea.wildstats.gg/en/profile/XBPq0gEZ6gBd4WVDXoFe
1,52.63%,1,19,https://sea.wildstats.gg/en/profile/5CBRAPWnZUiEGQkGJyo7
3,82.35%,6,17,https://sea.wildstats.gg/en/profile/fEyndsBkAXG8OsL7Kux2
2,64.29%,5,14,https://sea.wildstats.gg/en/profile/uxB8HUT3M2nuyUG5ac7R
1,63.64%,6,11,https://sea.wildstats.gg/en/profile/EmrIxbAmuMKUPfZgggkh
3,66.67%,5,15,https://sea.wildstats.gg/en/profile/9eKz76Z8PkD6JZ4ufLP6
1,55%,3,20,https://sea.wildstats.gg/en/profile/fcNMdU7arNI820ufJ4yL
3,60%,5,20,https://sea.wildstats.gg/en/profile/vOXe87helRTP8MjLQ2bV
2,75%,4,16,https://sea.wildstats.gg/en/profile/Ye5WsZIaQNSrW1zeHR0g
2,72.22%,2,18,https://sea.wildstats.gg/en/profile/t0HPuY2CxiUs86sXRm7o
2,62.96%,5,27,https://sea.wildstats.gg/en/profile/CIlWHdYtsk8Q1JSoTbdu
1,60.71%,4,28,https://sea.wildstats.gg/en/profile/bR8TRgygJUqpijn4sXmP
1,58.82%,0,17,https://sea.wildstats.gg/en/profile/iHVpEmz1AkI9gEZphq1B
3,72.73%,5,22,https://sea.wildstats.gg/en/profile/3zKWWzk6PJDyZhiB7iQY
2,70%,4,20,https://sea.wildstats.gg/en/profile/9qirxnho1ly9esPCNE35
2,61.11%,5,18,https://sea.wildstats.gg/en/profile/lrRfHlpS0ah43tVyE3Wd
2,87.5%,2,8,https://sea.wildstats.gg/en/profile/qKS1UFMdCIBiMrYBDE3R
2,75%,2,16,https://sea.wildstats.gg/en/profile/ldddcwx51ur2eBTZgezv
2,76.47%,1,17,https://sea.wildstats.gg/en/profile/WGzygQEu7rknIqFcrzrR
2,64%,1,25,https://sea.wildstats.gg/en/profile/tksbER59bnklW0TpyQXv
3,69.23%,5,13,https://sea.wildstats.gg/en/profile/RncjwqdQpLD4ltBbVAhf
2,70%,4,20,https://sea.wildstats.gg/en/profile/OKA2md3splR7UK9yLM0Y
3,72.22%,3,18,https://sea.wildstats.gg/en/profile/3Mt9iXTAz7LWGP1CBeM5
2,76.47%,3,17,https://sea.wildstats.gg/en/profile/dk0ptG893J5AYt03VoSj
2,69.23%,3,13,https://sea.wildstats.gg/en/profile/8NvUJVa8HGyzk7AwIVYH
2,70%,3,20,https://sea.wildstats.gg/en/profile/uTIL1D4UZM5ETBNIUCqu
2,75%,0,16,https://sea.wildstats.gg/en/profile/9uC6Q5zZ3xX5OgSSzjCk
3,81.25%,5,16,https://sea.wildstats.gg/en/profile/ntitLjeWNCeB0dOA4hKU
3,77.78%,4,18,https://sea.wildstats.gg/en/profile/iWNCIcRRcfjVqcWZn82k
2,62.5%,3,16,https://sea.wildstats.gg/en/profile/jMxKPwjzKiVNcvGYI1z7
2,54.17%,5,24,https://sea.wildstats.gg/en/profile/RhLEXvUM3tC3z71Bwx8K
3,85.71%,3,14,https://sea.wildstats.gg/en/profile/kVlIk3Gt0aAc348Dzmoh
3,68.18%,9,22,https://sea.wildstats.gg/en/profile/BY07yHNHnCrR6vvLI0sX
2,72.22%,5,18,https://sea.wildstats.gg/en/profile/lUZzT1R9BdIKS0XtlFzV
2,85.71%,0,14,https://sea.wildstats.gg/en/profile/tvyDhNuJMz4JUvctijfW
2,66.67%,3,18,https://sea.wildstats.gg/en/profile/hlqpY1s2W6nljtLDwqvj
2,87.5%,1,8,https://sea.wildstats.gg/en/profile/AP6wRcMC4WqHP1XIJkWm
2,75%,4,16,https://sea.wildstats.gg/en/profile/oXaGGhYHDEx5qKNR0GFO
3,68%,8,25,https://sea.wildstats.gg/en/profile/AOPXu6N8GmEpKqYa1ptg
